,r2,rmse,kendall,spearman,mape,month,source
SAN ANTONIO DE FLORES,-3.4318347291751348,147.957968705809,0.2299632662337398,0.3083292394130212,444.7760318395592,2,imerg
SAN LUCAS,-4.515224720637809,122.14374162885332,0.2861316917596507,0.3974287579350897,208.66334644325127,2,imerg
TEXIGUAT,-21.136954588181034,147.45664603882383,-0.032124628310161774,-0.04557037457495386,492.4613748669726,2,imerg
AMAPALA,-255.73214017476454,1343.0717894893348,0.053541047183602954,0.05799865854994128,1069.8656977368182,2,imerg
ALIANZA,-140.17265655240752,112.64874084899311,0.02845551966122361,0.052926935405996,436.60121707015446,2,imerg
CHOLUTECA,-10.139956514545146,385.0974101853219,-0.029325639294907786,-0.055202541015673255,697.9999559235052,2,imerg
EL CEDRITO,-20.3287480292293,328.38354922808367,0.3578875402428821,0.45312380276710773,463.41174094725517,2,imerg
GOASCORAN,-56.284356020986905,120.71440406447226,-0.07071067811865475,-0.09072971464954106,511.99491671039146,2,imerg
LIURE,-104.75857319810909,200.3670874047499,0.2480079363809483,0.279049510484399,596.2268017618974,2,imerg
NAMASIGUE,-552.7865497415077,512.5602177051956,0.25490196078431376,0.3038633054443336,914.9790143562822,2,imerg
SABANA GRANDE,0.0,83.24168342505052,,,408.1694814210527,2,imerg
LA LABOR,-3.2395974212345973,419.44075523216577,0.043998570069708726,0.08156255446653467,534.9793693489904,2,imerg
LA MESA,-0.21281896762692853,1461.1770677463523,0.269130224416054,0.4144415486768887,75.21022788473059,2,imerg
POTRERILLOS,-28.225505220602024,466.41639533891976,0.16073991593304593,0.19383447995711522,476.8582052280139,2,imerg
ESQUIAS,-1.1477258043507277,249.4373141891892,0.2603590604546692,0.3690525159556545,388.7899418227046,2,mswep
LA ERMITA,-2.940216526414935,158.57223958333333,0.3060257979668923,0.4197418380472633,125.7930937399797,2,mswep
SULACO,-43.066482834551124,3238.969535472973,0.02803275863402529,0.04956841622791607,1769.3389715932817,2,mswep
PLAYITAS,-11.0106436720017,443.45633814102547,0.17971746413656214,0.28293578539050396,570.3327904962908,2,mswep
FLORES,-4.177053619468631,189.0103125,0.25002931125936323,0.3600113392604023,413.3028044282728,2,mswep
PITO SOLO,0.16524795376601542,2434.9868285472976,0.416052493193368,0.573605629238113,881.3663004535069,2,mswep
SANTA ELENA,-0.20885942947161773,2083.5425,0.47145636947401603,0.6588999428511645,646.7595544896212,2,mswep
SANTA ROSA DE COPAN,-1.7997634881881175,666.2668184624999,0.36561906174520586,0.5140954084177125,136.89112408925533,2,mswep
EL NISPERO,-15.47480476366285,1838.054375,0.3618092885022695,0.5296852351352359,775.4724779816758,2,mswep
LA UNION,-0.6505551991765623,1033.0053125,0.39272858368425007,0.5456346596318749,526.5580489044513,2,mswep
SAN JOSE DE LA MONTAÃ‘A,-1.3511213865665521,1193.5819661458336,0.37791439490725065,0.5397397921743226,632.6619882324607,2,mswep
